# HST CALSPEC model spectrum of Alpha Lyra (Vega)
# File taken from http://www.stsci.edu/hst/observatory/crds/calspec.html
# Filename: alpha_lyr_mod_001.fits
# Clipped on the red side at 2200 nm
# Units converted to nm and erg/s/cm^2/nm.
#
# Wavelength(nm)  Flux(erg/s/cm^2/nm)
     184.681897    4.916861e-08
     184.867004    5.072432e-08
     185.052405    5.160862e-08
     185.237903    5.001196e-08
     185.423596    5.071613e-08
     185.609399    5.247653e-08
     185.795496    5.153492e-08
     185.981799    5.055238e-08
     186.168201    5.150218e-08
     186.354895    5.165774e-08
     186.541699    5.182969e-08
     186.728699    5.220634e-08
     186.915906    5.177237e-08
     187.103296    5.250110e-08
     187.290796    5.331171e-08
     187.478601    5.258298e-08
     187.666602    5.179694e-08
     187.854700    5.208352e-08
     188.043005    5.155949e-08
     188.231494    5.241922e-08
     188.420203    5.326258e-08
     188.609094    5.307426e-08
     188.798206    5.223090e-08
     188.987500    5.193613e-08
     189.176904    5.275493e-08
     189.366602    5.314795e-08
     189.556396    5.304151e-08
     189.746497    5.217358e-08
     189.936694    5.062606e-08
     190.127100    4.984821e-08
     190.317700    5.051962e-08
     190.508496    5.028217e-08
     190.699500    5.024123e-08
     190.890601    5.056874e-08
     191.081995    5.086351e-08
     191.273596    5.242741e-08
     191.465295    5.269761e-08
     191.657300    5.250110e-08
     191.849402    5.287775e-08
     192.041699    5.345909e-08
     192.234302    5.353278e-08
     192.427002    5.303332e-08
     192.619897    5.139573e-08
     192.813000    5.034767e-08
     193.006299    4.806323e-08
     193.199805    4.863639e-08
     193.393396    5.143667e-08
     193.587305    5.114190e-08
     193.781396    5.115009e-08
     193.975696    5.237009e-08
     194.170105    5.346728e-08
     194.364795    5.393399e-08
     194.559595    5.333627e-08
     194.754700    5.200163e-08
     194.949902    5.097814e-08
     195.145398    5.124835e-08
     195.341003    5.178056e-08
     195.536804    5.250110e-08
     195.732800    5.322983e-08
     195.929102    5.383573e-08
     196.125500    5.424513e-08
     196.322095    5.397493e-08
     196.518896    5.340178e-08
     196.715906    5.278768e-08
     196.913098    5.223908e-08
     197.110498    5.306607e-08
     197.308203    5.368836e-08
     197.506006    5.260754e-08
     197.704004    5.188701e-08
     197.902100    5.083895e-08
     198.100500    5.120741e-08
     198.299097    5.144486e-08
     198.497900    5.127291e-08
     198.696899    5.165774e-08
     198.896106    5.086351e-08
     199.095496    4.945518e-08
     199.295105    4.971720e-08
     199.494897    5.053600e-08
     199.694897    5.122378e-08
     199.895105    5.002016e-08
     200.095496    4.973357e-08
     200.296106    5.006928e-08
     200.496899    4.887385e-08
     200.697900    4.809598e-08
     200.899097    4.820243e-08
     201.100500    4.789129e-08
     201.302100    4.748189e-08
     201.503894    4.807142e-08
     201.705896    4.854632e-08
     201.908105    4.879196e-08
     202.110498    4.738363e-08
     202.313098    4.654028e-08
     202.516003    4.729357e-08
     202.718994    4.826793e-08
     202.922205    4.916042e-08
     203.125598    4.917680e-08
     203.329297    4.773572e-08
     203.533105    4.767021e-08
     203.737195    4.797317e-08
     203.941394    4.772753e-08
     204.145801    4.812055e-08
     204.350500    4.994646e-08
     204.555396    5.119922e-08
     204.760400    5.153492e-08
     204.965698    5.130566e-08
     205.171191    5.087989e-08
     205.376904    4.910310e-08
     205.582788    4.663853e-08
     205.788794    4.662216e-08
     205.995190    4.794042e-08
     206.201709    4.776028e-08
     206.408398    4.726082e-08
     206.615308    4.674498e-08
     206.822510    4.686780e-08
     207.029810    4.843169e-08
     207.237305    4.895572e-08
     207.445093    4.914404e-08
     207.653101    4.993009e-08
     207.861206    5.011022e-08
     208.069604    4.984821e-08
     208.278198    4.971720e-08
     208.487012    4.919317e-08
     208.695996    4.937331e-08
     208.905200    4.946338e-08
     209.114600    4.893935e-08
