Wave     R062      Z087      Y106      J129      H158      F184      W146      K213      SNPrism   Grism_1stOrder  Grism_0thOrder
1.240    0.0000    0.0000    0.0008    2.8285    0.0000    0.0000    2.8285    0.0000    2.7443    2.4931    0.0000
1.245    0.0000    0.0000    0.0002    2.8310    0.0000    0.0000    2.8310    0.0000    2.7467    2.5037    0.0000
1.250    0.0000    0.0000    0.0000    2.8313    0.0000    0.0000    2.8313    0.0000    2.7470    2.5118    0.0000
1.255    0.0000    0.0000    0.0000    2.8324    0.0000    0.0000    2.8324    0.0000    2.7481    2.5199    0.0000
1.260    0.0000    0.0000    0.0000    2.8327    0.0000    0.0000    2.8327    0.0000    2.7483    2.5267    0.0000
1.265    0.0000    0.0000    0.0000    2.8321    0.0000    0.0000    2.8321    0.0000    2.7477    2.5320    0.0000
1.270    0.0000    0.0000    0.0000    2.8312    0.0000    0.0000    2.8312    0.0000    2.7469    2.5366    0.0000
1.275    0.0000    0.0000    0.0000    2.8309    0.0000    0.0000    2.8309    0.0000    2.7466    2.5410    0.0000
1.280    0.0000    0.0000    0.0000    2.8305    0.0000    0.0000    2.8305    0.0000    2.7462    2.5448    0.0000
1.285    0.0000    0.0000    0.0000    2.8286    0.0000    0.0000    2.8286    0.0000    2.7443    2.5467    0.0000
1.290    0.0000    0.0000    0.0000    2.8285    0.0000    0.0000    2.8285    0.0000    2.7443    2.5497    0.0000
1.295    0.0000    0.0000    0.0000    2.8279    0.0000    0.0000    2.8279    0.0000    2.7437    2.5516    0.0000
1.300    0.0000    0.0000    0.0000    2.8276    0.0000    0.0000    2.8276    0.0000    2.7434    2.5532    0.0000
1.305    0.0000    0.0000    0.0000    2.8288    0.0000    0.0000    2.8288    0.0000    2.7446    2.5558    0.0000
1.310    0.0000    0.0000    0.0000    2.8287    0.0000    0.0000    2.8287    0.0000    2.7445    2.5566    0.0000
1.315    0.0000    0.0000    0.0000    2.8304    0.0001    0.0000    2.8304    0.0000    2.7461    2.5585    0.0000
1.320    0.0000    0.0000    0.0000    2.8323    0.0003    0.0000    2.8323    0.0000    2.7479    2.5601    0.0000
