   Wave      Z087      Y106      J129      H158      F184      W149    SNPrism   BAO-Grism
     1.305    0.0000    0.0000    0.6473    0.0000    0.0000    0.6473    0.6683    0.0011
     1.310    0.0000    0.0000    0.6462    0.0000    0.0000    0.6462    0.6666    0.0028
     1.315    0.0000    0.0000    0.6450    0.0000    0.0000    0.6450    0.6648    0.0065
     1.320    0.0000    0.0000    0.6436    0.0001    0.0000    0.6436    0.6628    0.0140
     1.325    0.0000    0.0000    0.6421    0.0002    0.0000    0.6421    0.6606    0.0276
     1.330    0.0000    0.0000    0.6407    0.0006    0.0000    0.6407    0.6585    0.0500
     1.335    0.0000    0.0000    0.6393    0.0017    0.0000    0.6393    0.6564    0.0833
     1.340    0.0000    0.0000    0.6379    0.0042    0.0000    0.6379    0.6544    0.1281
     1.345    0.0000    0.0000    0.6366    0.0096    0.0000    0.6366    0.6526    0.1828
     1.350    0.0000    0.0000    0.6355    0.0201    0.0000    0.6355    0.6510    0.2431
     1.355    0.0000    0.0000    0.6348    0.0386    0.0000    0.6348    0.6498    0.3037
     1.360    0.0000    0.0000    0.6342    0.0684    0.0000    0.6342    0.6488    0.3586
     1.365    0.0000    0.0000    0.6337    0.1119    0.0000    0.6337    0.6481    0.4038
     1.370    0.0000    0.0000    0.6333    0.1697    0.0000    0.6333    0.6475    0.4375
     1.375    0.0000    0.0000    0.6331    0.2396    0.0000    0.6331    0.6472    0.4604
     1.380    0.0000    0.0000    0.6329    0.3165    0.0000    0.6329    0.6471    0.4745
     1.385    0.0000    0.0000    0.6329    0.3934    0.0000    0.6329    0.6472    0.4825
     1.390    0.0000    0.0000    0.6328    0.4633    0.0000    0.6329    0.6474    0.4868
     1.395    0.0000    0.0000    0.6328    0.5212    0.0000    0.6329    0.6478    0.4890
     1.400    0.0000    0.0000    0.6326    0.5647    0.0000    0.6330    0.6483    0.4902
     1.405    0.0000    0.0000    0.6318    0.5945    0.0000    0.6331    0.6487    0.4908
     1.410    0.0000    0.0000    0.6301    0.6131    0.0000    0.6331    0.6493    0.4912
     1.415    0.0000    0.0000    0.6263    0.6237    0.0000    0.6333    0.6500    0.4916
     1.420    0.0000    0.0000    0.6189    0.6292    0.0000    0.6334    0.6507    0.4920
     1.425    0.0000    0.0000    0.6056    0.6319    0.0000    0.6336    0.6515    0.4923
     1.430    0.0000    0.0000    0.5836    0.6332    0.0000    0.6338    0.6524    0.4926
     1.435    0.0000    0.0000    0.5503    0.6339    0.0000    0.6341    0.6533    0.4929
     1.440    0.0000    0.0000    0.5040    0.6342    0.0000    0.6343    0.6542    0.4931
     1.445    0.0000    0.0000    0.4451    0.6345    0.0000    0.6346    0.6551    0.4933
     1.450    0.0000    0.0000    0.3764    0.6348    0.0000    0.6348    0.6560    0.4935
     1.455    0.0000    0.0000    0.3026    0.6350    0.0000    0.6350    0.6569    0.4935
     1.460    0.0000    0.0000    0.2301    0.6352    0.0000    0.6352    0.6577    0.4936
     1.465    0.0000    0.0000    0.1646    0.6354    0.0000    0.6354    0.6585    0.4936
     1.470    0.0000    0.0000    0.1104    0.6356    0.0000    0.6356    0.6592    0.4936
     1.475    0.0000    0.0000    0.0691    0.6358    0.0000    0.6358    0.6599    0.4935
     1.480    0.0000    0.0000    0.0403    0.6360    0.0000    0.6360    0.6606    0.4934
     1.485    0.0000    0.0000    0.0218    0.6362    0.0000    0.6362    0.6612    0.4933
     1.490    0.0000    0.0000    0.0110    0.6363    0.0000    0.6363    0.6617    0.4931
     1.495    0.0000    0.0000    0.0051    0.6364    0.0000    0.6364    0.6622    0.4928
     1.500    0.0000    0.0000    0.0022    0.6366    0.0000    0.6366    0.6627    0.4925
     1.505    0.0000    0.0000    0.0009    0.6367    0.0000    0.6367    0.6631    0.4922
     1.510    0.0000    0.0000    0.0003    0.6368    0.0000    0.6368    0.6635    0.4919
     1.515    0.0000    0.0000    0.0001    0.6369    0.0000    0.6369    0.6639    0.4915
     1.520    0.0000    0.0000    0.0000    0.6371    0.0000    0.6371    0.6642    0.4911
     1.525    0.0000    0.0000    0.0000    0.6372    0.0000    0.6372    0.6645    0.4906
     1.530    0.0000    0.0000    0.0000    0.6372    0.0000    0.6372    0.6648    0.4902
     1.535    0.0000    0.0000    0.0000    0.6373    0.0000    0.6373    0.6651    0.4896
     1.540    0.0000    0.0000    0.0000    0.6374    0.0000    0.6374    0.6654    0.4891
     1.545    0.0000    0.0000    0.0000    0.6374    0.0000    0.6374    0.6657    0.4885
     1.550    0.0000    0.0000    0.0000    0.6375    0.0000    0.6375    0.6659    0.4879
     1.555    0.0000    0.0000    0.0000    0.6376    0.0000    0.6376    0.6662    0.4873
     1.560    0.0000    0.0000    0.0000    0.6377    0.0000    0.6377    0.6665    0.4867
     1.565    0.0000    0.0000    0.0000    0.6379    0.0000    0.6379    0.6668    0.4861
     1.570    0.0000    0.0000    0.0000    0.6380    0.0000    0.6380    0.6671    0.4854
     1.575    0.0000    0.0000    0.0000    0.6380    0.0000    0.6380    0.6673    0.4846
     1.580    0.0000    0.0000    0.0000    0.6380    0.0000    0.6380    0.6675    0.4838
     1.585    0.0000    0.0000    0.0000    0.6379    0.0000    0.6379    0.6675    0.4830
     1.590    0.0000    0.0000    0.0000    0.6377    0.0000    0.6377    0.6674    0.4820
     1.595    0.0000    0.0000    0.0000    0.6374    0.0000    0.6374    0.6671    0.4809
     1.600    0.0000    0.0000    0.0000    0.6370    0.0000    0.6370    0.6666    0.4797
     1.605    0.0000    0.0000    0.0000    0.6365    0.0000    0.6365    0.6659    0.4784
     1.610    0.0000    0.0000    0.0000    0.6358    0.0001    0.6358    0.6650    0.4770
     1.615    0.0000    0.0000    0.0000    0.6350    0.0002    0.6350    0.6640    0.4755
     1.620    0.0000    0.0000    0.0000    0.6342    0.0004    0.6342    0.6628    0.4739
     1.625    0.0000    0.0000    0.0000    0.6332    0.0010    0.6332    0.6616    0.4723
     1.630    0.0000    0.0000    0.0000    0.6322    0.0023    0.6322    0.6603    0.4706
     1.635    0.0000    0.0000    0.0000    0.6312    0.0047    0.6312    0.6590    0.4688
